,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
15406,1cd-1.2.2.1.2.1.1,division,21.0,1cd-1.2.2.1.2.1.2,division,17.0,True,4.0,0.9,TMZ
15407,1cd-1.2.2.1.2.1.1.1,death,0.0,1cd-1.2.2.1.2.1.1.2,division,12.0,False,12.0,0.9,TMZ
15408,1cd-1.2.2.1.2.1.2.1,migration,16.0,1cd-1.2.2.1.2.1.2.2,division,13.0,False,3.0,0.9,TMZ
15409,1cd-1.2.2.1.2.1.2.2.1,migration,2.0,1cd-1.2.2.1.2.1.2.2.2,migration,2.0,True,0.0,0.9,TMZ
15410,1cd-1.2.2.1.2.2.1,division,23.0,1cd-1.2.2.1.2.2.2,division,23.0,True,0.0,0.9,TMZ
15411,1cd-1.2.2.1.2.2.1.1,migration,6.0,1cd-1.2.2.1.2.2.1.2,migration,6.0,True,0.0,0.9,TMZ
15412,1cd-1.2.2.1.2.2.2.1,migration,6.0,1cd-1.2.2.1.2.2.2.2,migration,6.0,True,0.0,0.9,TMZ
15413,1cd-1.2.2.2.1,division,23.0,1cd-1.2.2.2.2,division,8.0,True,15.0,0.9,TMZ
15414,1cd-1.2.2.2.1.1,division,29.0,1cd-1.2.2.2.1.2,division,21.0,True,8.0,0.9,TMZ
15415,1cd-1.2.2.2.1.1.1,migration,11.0,1cd-1.2.2.2.1.1.2,migration,11.0,True,0.0,0.9,TMZ
15416,1cd-1.2.2.2.1.2.1,division,13.0,1cd-1.2.2.2.1.2.2,division,9.0,True,4.0,0.9,TMZ
15417,1cd-1.2.2.2.1.2.1.1,migration,5.0,1cd-1.2.2.2.1.2.1.2,migration,5.0,True,0.0,0.9,TMZ
15418,1cd-1.2.2.2.1.2.2.1,migration,9.0,1cd-1.2.2.2.1.2.2.2,migration,9.0,True,0.0,0.9,TMZ
15419,1cd-1.2.2.2.2.1,division,13.0,1cd-1.2.2.2.2.2,division,21.0,True,8.0,0.9,TMZ
