,cell_name,cell_fate,cell_hours_at_fate,sister_name,sister_fate,sister_hours_at_fate,coinciding_fate,hours_difference_to_fate,memory,treatment
0,1a-1.1,division,28.0,1a-1.2,division,20.0,True,8.0,0.0,Control
1,1a-1.1.1,division,21.0,1a-1.1.2,division,22.0,True,1.0,0.0,Control
2,1a-1.1.1.1,division,21.0,1a-1.1.1.2,division,31.0,True,10.0,0.0,Control
3,1a-1.1.1.1.1,division,33.0,1a-1.1.1.1.2,division,22.0,True,11.0,0.0,Control
4,1a-1.1.1.1.1.1,migration,9.0,1a-1.1.1.1.1.2,migration,9.0,True,0.0,0.0,Control
5,1a-1.1.1.1.2.1,division,20.0,1a-1.1.1.1.2.2,migration,20.0,False,0.0,0.0,Control
6,1a-1.1.1.2.1,division,27.0,1a-1.1.1.2.2,division,27.0,True,0.0,0.0,Control
7,1a-1.1.1.2.1.1,migration,5.0,1a-1.1.1.2.1.2,migration,5.0,True,0.0,0.0,Control
8,1a-1.1.1.2.2.1,migration,5.0,1a-1.1.1.2.2.2,migration,5.0,True,0.0,0.0,Control
9,1a-1.1.2.1,division,29.0,1a-1.1.2.2,division,29.0,True,0.0,0.0,Control
10,1a-1.1.2.1.1,division,32.0,1a-1.1.2.1.2,division,29.0,True,3.0,0.0,Control
11,1a-1.1.2.1.1.1,migration,1.0,1a-1.1.2.1.1.2,migration,1.0,True,0.0,0.0,Control
12,1a-1.1.2.1.2.1,migration,4.0,1a-1.1.2.1.2.2,migration,4.0,True,0.0,0.0,Control
13,1a-1.1.2.2.1,division,24.0,1a-1.1.2.2.2,division,22.0,True,2.0,0.0,Control
14,1a-1.1.2.2.1.1,migration,9.0,1a-1.1.2.2.1.2,migration,9.0,True,0.0,0.0,Control
15,1a-1.1.2.2.2.1,migration,11.0,1a-1.1.2.2.2.2,migration,11.0,True,0.0,0.0,Control
16,1a-1.2.1,division,30.0,1a-1.2.2,division,28.0,True,2.0,0.0,Control
17,1a-1.2.1.1,division,14.0,1a-1.2.1.2,division,24.0,True,10.0,0.0,Control
18,1a-1.2.1.1.1,division,28.0,1a-1.2.1.1.2,division,21.0,True,7.0,0.0,Control
19,1a-1.2.1.1.1.1,migration,20.0,1a-1.2.1.1.1.2,migration,20.0,True,0.0,0.0,Control
20,1a-1.2.1.1.2.1,migration,27.0,1a-1.2.1.1.2.2,division,20.0,False,7.0,0.0,Control
21,1a-1.2.1.1.2.2.1,migration,6.0,1a-1.2.1.1.2.2.2,migration,6.0,True,0.0,0.0,Control
22,1a-1.2.1.2.1,division,29.0,1a-1.2.1.2.2,division,27.0,True,2.0,0.0,Control
23,1a-1.2.1.2.1.1,migration,9.0,1a-1.2.1.2.1.2,migration,9.0,True,0.0,0.0,Control
24,1a-1.2.1.2.2.1,migration,11.0,1a-1.2.1.2.2.2,migration,11.0,True,0.0,0.0,Control
25,1a-1.2.2.1,division,22.0,1a-1.2.2.2,division,17.0,True,5.0,0.0,Control
26,1a-1.2.2.1.1,division,22.0,1a-1.2.2.1.2,division,29.0,True,7.0,0.0,Control
27,1a-1.2.2.1.1.1,migration,20.0,1a-1.2.2.1.1.2,division,20.0,False,0.0,0.0,Control
28,1a-1.2.2.1.2.1,migration,13.0,1a-1.2.2.1.2.2,migration,13.0,True,0.0,0.0,Control
29,1a-1.2.2.2.1,division,24.0,1a-1.2.2.2.2,division,16.0,True,8.0,0.0,Control
30,1a-1.2.2.2.1.1,division,23.0,1a-1.2.2.2.1.2,migration,23.0,False,0.0,0.0,Control
31,1a-1.2.2.2.2.1,division,22.0,1a-1.2.2.2.2.2,division,23.0,True,1.0,0.0,Control
32,1a-1.2.2.2.2.1.1,migration,8.0,1a-1.2.2.2.2.1.2,migration,8.0,True,0.0,0.0,Control
33,1a-1.2.2.2.2.2.1,migration,7.0,1a-1.2.2.2.2.2.2,migration,7.0,True,0.0,0.0,Control
34,1aa-1.1,division,27.0,1aa-1.2,division,28.0,True,1.0,0.0,Control
35,1aa-1.1.1,division,19.0,1aa-1.1.2,division,19.0,True,0.0,0.0,Control
36,1aa-1.1.1.1,division,22.0,1aa-1.1.1.2,division,31.0,True,9.0,0.0,Control
37,1aa-1.1.1.1.1,division,21.0,1aa-1.1.1.1.2,division,22.0,True,1.0,0.0,Control
38,1aa-1.1.1.1.1.1,division,27.0,1aa-1.1.1.1.1.2,division,25.0,True,2.0,0.0,Control
39,1aa-1.1.1.1.1.1.1,migration,1.0,1aa-1.1.1.1.1.1.2,migration,1.0,True,0.0,0.0,Control
40,1aa-1.1.1.1.1.2.1,migration,3.0,1aa-1.1.1.1.1.2.2,migration,3.0,True,0.0,0.0,Control
41,1aa-1.1.1.1.2.1,division,22.0,1aa-1.1.1.1.2.2,division,22.0,True,0.0,0.0,Control
42,1aa-1.1.1.1.2.1.1,migration,5.0,1aa-1.1.1.1.2.1.2,migration,5.0,True,0.0,0.0,Control
43,1aa-1.1.1.1.2.2.1,migration,5.0,1aa-1.1.1.1.2.2.2,migration,5.0,True,0.0,0.0,Control
44,1aa-1.1.1.2.1,division,31.0,1aa-1.1.1.2.2,division,21.0,True,10.0,0.0,Control
45,1aa-1.1.1.2.1.1,migration,10.0,1aa-1.1.1.2.1.2,migration,10.0,True,0.0,0.0,Control
46,1aa-1.1.1.2.2.1,migration,20.0,1aa-1.1.1.2.2.2,migration,20.0,True,0.0,0.0,Control
47,1aa-1.1.2.1,division,21.0,1aa-1.1.2.2,division,22.0,True,1.0,0.0,Control
48,1aa-1.1.2.1.1,division,24.0,1aa-1.1.2.1.2,division,23.0,True,1.0,0.0,Control
49,1aa-1.1.2.1.1.1,migration,27.0,1aa-1.1.2.1.1.2,division,25.0,False,2.0,0.0,Control
50,1aa-1.1.2.1.1.2.1,migration,1.0,1aa-1.1.2.1.1.2.2,migration,1.0,True,0.0,0.0,Control
51,1aa-1.1.2.1.2.1,division,21.0,1aa-1.1.2.1.2.2,division,20.0,True,1.0,0.0,Control
52,1aa-1.1.2.1.2.1.1,migration,6.0,1aa-1.1.2.1.2.1.2,migration,6.0,True,0.0,0.0,Control
53,1aa-1.1.2.1.2.2.1,migration,7.0,1aa-1.1.2.1.2.2.2,migration,7.0,True,0.0,0.0,Control
54,1aa-1.1.2.2.1,division,37.0,1aa-1.1.2.2.2,division,32.0,True,5.0,0.0,Control
55,1aa-1.1.2.2.1.1,migration,13.0,1aa-1.1.2.2.1.2,migration,13.0,True,0.0,0.0,Control
56,1aa-1.1.2.2.2.1,migration,18.0,1aa-1.1.2.2.2.2,migration,18.0,True,0.0,0.0,Control
57,1aa-1.2.1,division,23.0,1aa-1.2.2,division,25.0,True,2.0,0.0,Control
58,1aa-1.2.1.1,division,24.0,1aa-1.2.1.2,division,24.0,True,0.0,0.0,Control
59,1aa-1.2.1.1.1,division,19.0,1aa-1.2.1.1.2,division,25.0,True,6.0,0.0,Control
60,1aa-1.2.1.1.1.1,division,22.0,1aa-1.2.1.1.1.2,migration,24.0,False,2.0,0.0,Control
61,1aa-1.2.1.1.1.1.1,migration,1.0,1aa-1.2.1.1.1.1.2,migration,1.0,True,0.0,0.0,Control
62,1aa-1.2.1.1.2.1,migration,18.0,1aa-1.2.1.1.2.2,migration,18.0,True,0.0,0.0,Control
63,1aa-1.2.1.2.1,division,28.0,1aa-1.2.1.2.2,division,32.0,True,4.0,0.0,Control
64,1aa-1.2.1.2.1.1,migration,15.0,1aa-1.2.1.2.1.2,migration,15.0,True,0.0,0.0,Control
65,1aa-1.2.1.2.2.1,migration,11.0,1aa-1.2.1.2.2.2,migration,11.0,True,0.0,0.0,Control
66,1aa-1.2.2.1,division,29.0,1aa-1.2.2.2,division,23.0,True,6.0,0.0,Control
67,1aa-1.2.2.1.1,division,22.0,1aa-1.2.2.1.2,division,25.0,True,3.0,0.0,Control
68,1aa-1.2.2.1.1.1,migration,14.0,1aa-1.2.2.1.1.2,migration,14.0,True,0.0,0.0,Control
69,1aa-1.2.2.1.2.1,migration,11.0,1aa-1.2.2.1.2.2,migration,11.0,True,0.0,0.0,Control
70,1aa-1.2.2.2.1,division,24.0,1aa-1.2.2.2.2,division,22.0,True,2.0,0.0,Control
71,1aa-1.2.2.2.1.1,migration,18.0,1aa-1.2.2.2.1.2,migration,18.0,True,0.0,0.0,Control
72,1aa-1.2.2.2.2.1,migration,20.0,1aa-1.2.2.2.2.2,migration,20.0,True,0.0,0.0,Control
73,1ab-1.1,division,24.0,1ab-1.2,division,17.0,True,7.0,0.0,Control
74,1ab-1.1.1,division,28.0,1ab-1.1.2,division,31.0,True,3.0,0.0,Control
75,1ab-1.1.1.1,division,27.0,1ab-1.1.1.2,division,31.0,True,4.0,0.0,Control
76,1ab-1.1.1.1.1,division,27.0,1ab-1.1.1.1.2,division,21.0,True,6.0,0.0,Control
77,1ab-1.1.1.1.1.1,migration,13.0,1ab-1.1.1.1.1.2,migration,13.0,True,0.0,0.0,Control
78,1ab-1.1.1.1.2.1,migration,19.0,1ab-1.1.1.1.2.2,migration,19.0,True,0.0,0.0,Control
79,1ab-1.1.1.2.1,division,32.0,1ab-1.1.1.2.2,division,22.0,True,10.0,0.0,Control
80,1ab-1.1.1.2.1.1,migration,4.0,1ab-1.1.1.2.1.2,migration,4.0,True,0.0,0.0,Control
81,1ab-1.1.1.2.2.1,migration,14.0,1ab-1.1.1.2.2.2,migration,14.0,True,0.0,0.0,Control
82,1ab-1.1.2.1,division,22.0,1ab-1.1.2.2,division,24.0,True,2.0,0.0,Control
83,1ab-1.1.2.1.1,division,26.0,1ab-1.1.2.1.2,division,19.0,True,7.0,0.0,Control
84,1ab-1.1.2.1.1.1,migration,16.0,1ab-1.1.2.1.1.2,migration,16.0,True,0.0,0.0,Control
85,1ab-1.1.2.1.2.1,migration,23.0,1ab-1.1.2.1.2.2,migration,23.0,True,0.0,0.0,Control
86,1ab-1.1.2.2.1,division,21.0,1ab-1.1.2.2.2,division,22.0,True,1.0,0.0,Control
87,1ab-1.1.2.2.1.1,migration,19.0,1ab-1.1.2.2.1.2,migration,19.0,True,0.0,0.0,Control
88,1ab-1.1.2.2.2.1,migration,18.0,1ab-1.1.2.2.2.2,migration,18.0,True,0.0,0.0,Control
89,1ab-1.2.1,division,21.0,1ab-1.2.2,division,28.0,True,7.0,0.0,Control
90,1ab-1.2.1.1,division,23.0,1ab-1.2.1.2,division,18.0,True,5.0,0.0,Control
91,1ab-1.2.1.1.1,division,25.0,1ab-1.2.1.1.2,division,22.0,True,3.0,0.0,Control
92,1ab-1.2.1.1.1.1,division,21.0,1ab-1.2.1.1.1.2,division,24.0,True,3.0,0.0,Control
93,1ab-1.2.1.1.1.1.1,migration,11.0,1ab-1.2.1.1.1.1.2,migration,11.0,True,0.0,0.0,Control
94,1ab-1.2.1.1.1.2.1,migration,8.0,1ab-1.2.1.1.1.2.2,migration,8.0,True,0.0,0.0,Control
95,1ab-1.2.1.1.2.1,division,17.0,1ab-1.2.1.1.2.2,division,19.0,True,2.0,0.0,Control
96,1ab-1.2.1.1.2.1.1,migration,18.0,1ab-1.2.1.1.2.1.2,migration,18.0,True,0.0,0.0,Control
97,1ab-1.2.1.1.2.2.1,migration,16.0,1ab-1.2.1.1.2.2.2,migration,16.0,True,0.0,0.0,Control
98,1ab-1.2.1.2.1,division,20.0,1ab-1.2.1.2.2,division,22.0,True,2.0,0.0,Control
99,1ab-1.2.1.2.1.1,division,28.0,1ab-1.2.1.2.1.2,division,31.0,True,3.0,0.0,Control
100,1ab-1.2.1.2.1.1.1,migration,14.0,1ab-1.2.1.2.1.1.2,migration,14.0,True,0.0,0.0,Control
101,1ab-1.2.1.2.1.2.1,migration,11.0,1ab-1.2.1.2.1.2.2,migration,11.0,True,0.0,0.0,Control
102,1ab-1.2.1.2.2.1,division,29.0,1ab-1.2.1.2.2.2,division,19.0,True,10.0,0.0,Control
103,1ab-1.2.1.2.2.1.1,migration,11.0,1ab-1.2.1.2.2.1.2,migration,11.0,True,0.0,0.0,Control
104,1ab-1.2.1.2.2.2.1,migration,21.0,1ab-1.2.1.2.2.2.2,migration,21.0,True,0.0,0.0,Control
105,1ab-1.2.2.1,division,31.0,1ab-1.2.2.2,division,25.0,True,6.0,0.0,Control
106,1ab-1.2.2.1.1,division,21.0,1ab-1.2.2.1.2,division,19.0,True,2.0,0.0,Control
107,1ab-1.2.2.1.1.1,division,18.0,1ab-1.2.2.1.1.2,division,22.0,True,4.0,0.0,Control
108,1ab-1.2.2.1.1.1.1,migration,3.0,1ab-1.2.2.1.1.1.2,migration,3.0,True,0.0,0.0,Control
109,1ab-1.2.2.1.2.1,migration,24.0,1ab-1.2.2.1.2.2,division,21.0,False,3.0,0.0,Control
110,1ab-1.2.2.1.2.2.1,migration,2.0,1ab-1.2.2.1.2.2.2,migration,2.0,True,0.0,0.0,Control
111,1ab-1.2.2.2.1,division,19.0,1ab-1.2.2.2.2,division,15.0,True,4.0,0.0,Control
112,1ab-1.2.2.2.1.1,division,23.0,1ab-1.2.2.2.1.2,division,30.0,True,7.0,0.0,Control
113,1ab-1.2.2.2.1.1.1,migration,6.0,1ab-1.2.2.2.1.1.2,migration,6.0,True,0.0,0.0,Control
114,1ab-1.2.2.2.2.1,division,27.0,1ab-1.2.2.2.2.2,division,22.0,True,5.0,0.0,Control
115,1ab-1.2.2.2.2.1.1,migration,6.0,1ab-1.2.2.2.2.1.2,migration,6.0,True,0.0,0.0,Control
116,1ab-1.2.2.2.2.2.1,migration,11.0,1ab-1.2.2.2.2.2.2,migration,11.0,True,0.0,0.0,Control
117,1ac-1.1,division,24.0,1ac-1.2,division,23.0,True,1.0,0.0,Control
118,1ac-1.1.1,division,28.0,1ac-1.1.2,division,24.0,True,4.0,0.0,Control
119,1ac-1.1.1.1,division,27.0,1ac-1.1.1.2,division,21.0,True,6.0,0.0,Control
120,1ac-1.1.1.1.1,division,26.0,1ac-1.1.1.1.2,division,29.0,True,3.0,0.0,Control
121,1ac-1.1.1.1.1.1,migration,11.0,1ac-1.1.1.1.1.2,migration,11.0,True,0.0,0.0,Control
122,1ac-1.1.1.1.2.1,migration,8.0,1ac-1.1.1.1.2.2,migration,8.0,True,0.0,0.0,Control
123,1ac-1.1.1.2.1,division,27.0,1ac-1.1.1.2.2,division,24.0,True,3.0,0.0,Control
124,1ac-1.1.1.2.1.1,migration,16.0,1ac-1.1.1.2.1.2,migration,16.0,True,0.0,0.0,Control
125,1ac-1.1.1.2.2.1,migration,19.0,1ac-1.1.1.2.2.2,migration,19.0,True,0.0,0.0,Control
126,1ac-1.1.2.1,division,30.0,1ac-1.1.2.2,division,21.0,True,9.0,0.0,Control
127,1ac-1.1.2.1.1,division,26.0,1ac-1.1.2.1.2,division,22.0,True,4.0,0.0,Control
128,1ac-1.1.2.1.1.1,migration,12.0,1ac-1.1.2.1.1.2,migration,12.0,True,0.0,0.0,Control
129,1ac-1.1.2.1.2.1,migration,16.0,1ac-1.1.2.1.2.2,division,14.0,False,2.0,0.0,Control
130,1ac-1.1.2.1.2.2.1,migration,1.0,1ac-1.1.2.1.2.2.2,migration,1.0,True,0.0,0.0,Control
131,1ac-1.1.2.2.1,division,22.0,1ac-1.1.2.2.2,division,32.0,True,10.0,0.0,Control
132,1ac-1.1.2.2.1.1,migration,25.0,1ac-1.1.2.2.1.2,migration,25.0,True,0.0,0.0,Control
133,1ac-1.1.2.2.2.1,migration,15.0,1ac-1.1.2.2.2.2,migration,15.0,True,0.0,0.0,Control
134,1ac-1.2.1,division,24.0,1ac-1.2.2,division,24.0,True,0.0,0.0,Control
135,1ac-1.2.1.1,division,33.0,1ac-1.2.1.2,division,28.0,True,5.0,0.0,Control
136,1ac-1.2.1.1.1,division,22.0,1ac-1.2.1.1.2,division,17.0,True,5.0,0.0,Control
137,1ac-1.2.1.1.1.1,migration,14.0,1ac-1.2.1.1.1.2,migration,14.0,True,0.0,0.0,Control
138,1ac-1.2.1.1.2.1,migration,19.0,1ac-1.2.1.1.2.2,migration,19.0,True,0.0,0.0,Control
139,1ac-1.2.1.2.1,division,21.0,1ac-1.2.1.2.2,division,25.0,True,4.0,0.0,Control
140,1ac-1.2.1.2.1.1,migration,20.0,1ac-1.2.1.2.1.2,migration,20.0,True,0.0,0.0,Control
141,1ac-1.2.1.2.2.1,migration,16.0,1ac-1.2.1.2.2.2,migration,16.0,True,0.0,0.0,Control
142,1ac-1.2.2.1,division,28.0,1ac-1.2.2.2,division,24.0,True,4.0,0.0,Control
143,1ac-1.2.2.1.1,division,23.0,1ac-1.2.2.1.2,division,28.0,True,5.0,0.0,Control
144,1ac-1.2.2.1.1.1,migration,18.0,1ac-1.2.2.1.1.2,division,17.0,False,1.0,0.0,Control
145,1ac-1.2.2.1.1.2.1,migration,0.0,1ac-1.2.2.1.1.2.2,migration,0.0,True,0.0,0.0,Control
146,1ac-1.2.2.1.2.1,migration,13.0,1ac-1.2.2.1.2.2,migration,13.0,True,0.0,0.0,Control
147,1ac-1.2.2.2.1,division,21.0,1ac-1.2.2.2.2,division,23.0,True,2.0,0.0,Control
148,1ac-1.2.2.2.1.1,division,22.0,1ac-1.2.2.2.1.2,migration,24.0,False,2.0,0.0,Control
149,1ac-1.2.2.2.1.1.1,migration,1.0,1ac-1.2.2.2.1.1.2,migration,1.0,True,0.0,0.0,Control
150,1ac-1.2.2.2.2.1,migration,22.0,1ac-1.2.2.2.2.2,migration,22.0,True,0.0,0.0,Control
151,1ad-1.1,division,25.0,1ad-1.2,division,18.0,True,7.0,0.0,Control
152,1ad-1.1.1,division,23.0,1ad-1.1.2,division,33.0,True,10.0,0.0,Control
153,1ad-1.1.1.1,division,29.0,1ad-1.1.1.2,division,26.0,True,3.0,0.0,Control
154,1ad-1.1.1.1.1,division,31.0,1ad-1.1.1.1.2,division,26.0,True,5.0,0.0,Control
155,1ad-1.1.1.1.1.1,migration,1.0,1ad-1.1.1.1.1.2,migration,1.0,True,0.0,0.0,Control
156,1ad-1.1.1.1.2.1,migration,6.0,1ad-1.1.1.1.2.2,migration,6.0,True,0.0,0.0,Control
157,1ad-1.1.1.2.1,division,21.0,1ad-1.1.1.2.2,division,30.0,True,9.0,0.0,Control
158,1ad-1.1.1.2.1.1,migration,14.0,1ad-1.1.1.2.1.2,migration,14.0,True,0.0,0.0,Control
159,1ad-1.1.1.2.2.1,migration,5.0,1ad-1.1.1.2.2.2,migration,5.0,True,0.0,0.0,Control
160,1ad-1.1.2.1,division,30.0,1ad-1.1.2.2,division,36.0,True,6.0,0.0,Control
161,1ad-1.1.2.1.1,division,17.0,1ad-1.1.2.1.2,migration,22.0,False,5.0,0.0,Control
162,1ad-1.1.2.1.1.1,migration,4.0,1ad-1.1.2.1.1.2,migration,4.0,True,0.0,0.0,Control
163,1ad-1.1.2.2.1,migration,16.0,1ad-1.1.2.2.2,migration,16.0,True,0.0,0.0,Control
164,1ad-1.2.1,division,23.0,1ad-1.2.2,division,28.0,True,5.0,0.0,Control
165,1ad-1.2.1.1,division,17.0,1ad-1.2.1.2,division,27.0,True,10.0,0.0,Control
166,1ad-1.2.1.1.1,division,26.0,1ad-1.2.1.1.2,division,25.0,True,1.0,0.0,Control
167,1ad-1.2.1.1.1.1,division,25.0,1ad-1.2.1.1.1.2,migration,25.0,False,0.0,0.0,Control
168,1ad-1.2.1.1.2.1,migration,26.0,1ad-1.2.1.1.2.2,division,24.0,False,2.0,0.0,Control
169,1ad-1.2.1.1.2.2.1,migration,1.0,1ad-1.2.1.1.2.2.2,migration,1.0,True,0.0,0.0,Control
170,1ad-1.2.1.2.1,division,30.0,1ad-1.2.1.2.2,division,27.0,True,3.0,0.0,Control
171,1ad-1.2.1.2.1.1,migration,11.0,1ad-1.2.1.2.1.2,migration,11.0,True,0.0,0.0,Control
172,1ad-1.2.1.2.2.1,migration,14.0,1ad-1.2.1.2.2.2,migration,14.0,True,0.0,0.0,Control
173,1ad-1.2.2.1,division,32.0,1ad-1.2.2.2,division,29.0,True,3.0,0.0,Control
174,1ad-1.2.2.1.1,division,28.0,1ad-1.2.2.1.2,division,18.0,True,10.0,0.0,Control
175,1ad-1.2.2.1.1.1,migration,3.0,1ad-1.2.2.1.1.2,migration,3.0,True,0.0,0.0,Control
176,1ad-1.2.2.1.2.1,migration,13.0,1ad-1.2.2.1.2.2,migration,13.0,True,0.0,0.0,Control
177,1ad-1.2.2.2.1,division,30.0,1ad-1.2.2.2.2,division,19.0,True,11.0,0.0,Control
178,1ad-1.2.2.2.1.1,migration,4.0,1ad-1.2.2.2.1.2,migration,4.0,True,0.0,0.0,Control
179,1ad-1.2.2.2.2.1,migration,15.0,1ad-1.2.2.2.2.2,migration,15.0,True,0.0,0.0,Control
180,1ae-1.1,division,22.0,1ae-1.2,division,24.0,True,2.0,0.0,Control
181,1ae-1.1.1,division,35.0,1ae-1.1.2,division,20.0,True,15.0,0.0,Control
182,1ae-1.1.1.1,division,28.0,1ae-1.1.1.2,division,25.0,True,3.0,0.0,Control
183,1ae-1.1.1.1.1,division,20.0,1ae-1.1.1.1.2,division,22.0,True,2.0,0.0,Control
184,1ae-1.1.1.1.1.1,migration,6.0,1ae-1.1.1.1.1.2,migration,6.0,True,0.0,0.0,Control
185,1ae-1.1.1.1.2.1,migration,4.0,1ae-1.1.1.1.2.2,migration,4.0,True,0.0,0.0,Control
186,1ae-1.1.1.2.1,division,25.0,1ae-1.1.1.2.2,division,17.0,True,8.0,0.0,Control
187,1ae-1.1.1.2.1.1,migration,4.0,1ae-1.1.1.2.1.2,migration,4.0,True,0.0,0.0,Control
188,1ae-1.1.1.2.2.1,migration,12.0,1ae-1.1.1.2.2.2,migration,12.0,True,0.0,0.0,Control
189,1ae-1.1.2.1,division,25.0,1ae-1.1.2.2,division,29.0,True,4.0,0.0,Control
190,1ae-1.1.2.1.1,division,27.0,1ae-1.1.2.1.2,division,41.0,True,14.0,0.0,Control
191,1ae-1.1.2.1.1.1,migration,17.0,1ae-1.1.2.1.1.2,migration,17.0,True,0.0,0.0,Control
192,1ae-1.1.2.1.2.1,migration,3.0,1ae-1.1.2.1.2.2,migration,3.0,True,0.0,0.0,Control
193,1ae-1.1.2.2.1,division,25.0,1ae-1.1.2.2.2,division,37.0,True,12.0,0.0,Control
194,1ae-1.1.2.2.1.1,migration,15.0,1ae-1.1.2.2.1.2,migration,15.0,True,0.0,0.0,Control
195,1ae-1.1.2.2.2.1,migration,3.0,1ae-1.1.2.2.2.2,migration,3.0,True,0.0,0.0,Control
196,1ae-1.2.1,division,22.0,1ae-1.2.2,division,22.0,True,0.0,0.0,Control
197,1ae-1.2.1.1,division,20.0,1ae-1.2.1.2,division,23.0,True,3.0,0.0,Control
198,1ae-1.2.1.1.1,division,25.0,1ae-1.2.1.1.2,division,21.0,True,4.0,0.0,Control
199,1ae-1.2.1.1.1.1,migration,20.0,1ae-1.2.1.1.1.2,migration,20.0,True,0.0,0.0,Control
200,1ae-1.2.1.1.2.1,division,23.0,1ae-1.2.1.1.2.2,migration,24.0,False,1.0,0.0,Control
201,1ae-1.2.1.1.2.1.1,migration,0.0,1ae-1.2.1.1.2.1.2,migration,0.0,True,0.0,0.0,Control
202,1ae-1.2.1.2.1,division,20.0,1ae-1.2.1.2.2,division,29.0,True,9.0,0.0,Control
203,1ae-1.2.1.2.1.1,migration,22.0,1ae-1.2.1.2.1.2,migration,22.0,True,0.0,0.0,Control
204,1ae-1.2.1.2.2.1,migration,13.0,1ae-1.2.1.2.2.2,migration,13.0,True,0.0,0.0,Control
205,1ae-1.2.2.1,division,28.0,1ae-1.2.2.2,division,25.0,True,3.0,0.0,Control
206,1ae-1.2.2.1.1,division,22.0,1ae-1.2.2.1.2,division,32.0,True,10.0,0.0,Control
207,1ae-1.2.2.1.1.1,migration,15.0,1ae-1.2.2.1.1.2,migration,15.0,True,0.0,0.0,Control
208,1ae-1.2.2.1.2.1,migration,5.0,1ae-1.2.2.1.2.2,migration,5.0,True,0.0,0.0,Control
209,1ae-1.2.2.2.1,division,22.0,1ae-1.2.2.2.2,division,32.0,True,10.0,0.0,Control
210,1ae-1.2.2.2.1.1,migration,18.0,1ae-1.2.2.2.1.2,migration,18.0,True,0.0,0.0,Control
211,1ae-1.2.2.2.2.1,migration,8.0,1ae-1.2.2.2.2.2,migration,8.0,True,0.0,0.0,Control
212,1af-1.1,division,30.0,1af-1.2,division,21.0,True,9.0,0.0,Control
213,1af-1.1.1,division,25.0,1af-1.1.2,division,21.0,True,4.0,0.0,Control
214,1af-1.1.1.1,division,29.0,1af-1.1.1.2,division,31.0,True,2.0,0.0,Control
215,1af-1.1.1.1.1,division,26.0,1af-1.1.1.1.2,division,20.0,True,6.0,0.0,Control
216,1af-1.1.1.1.1.1,migration,7.0,1af-1.1.1.1.1.2,migration,7.0,True,0.0,0.0,Control
217,1af-1.1.1.1.2.1,migration,13.0,1af-1.1.1.1.2.2,migration,13.0,True,0.0,0.0,Control
218,1af-1.1.1.2.1,division,25.0,1af-1.1.1.2.2,division,22.0,True,3.0,0.0,Control
219,1af-1.1.1.2.1.1,migration,6.0,1af-1.1.1.2.1.2,migration,6.0,True,0.0,0.0,Control
220,1af-1.1.1.2.2.1,migration,9.0,1af-1.1.1.2.2.2,migration,9.0,True,0.0,0.0,Control
221,1af-1.1.2.1,division,18.0,1af-1.1.2.2,division,26.0,True,8.0,0.0,Control
222,1af-1.1.2.1.1,division,32.0,1af-1.1.2.1.2,division,24.0,True,8.0,0.0,Control
223,1af-1.1.2.1.1.1,migration,16.0,1af-1.1.2.1.1.2,migration,16.0,True,0.0,0.0,Control
224,1af-1.1.2.1.2.1,division,24.0,1af-1.1.2.1.2.2,division,22.0,True,2.0,0.0,Control
225,1af-1.1.2.1.2.2.1,migration,1.0,1af-1.1.2.1.2.2.2,migration,1.0,True,0.0,0.0,Control
226,1af-1.1.2.2.1,division,23.0,1af-1.1.2.2.2,division,27.0,True,4.0,0.0,Control
227,1af-1.1.2.2.1.1,migration,17.0,1af-1.1.2.2.1.2,migration,17.0,True,0.0,0.0,Control
228,1af-1.1.2.2.2.1,migration,13.0,1af-1.1.2.2.2.2,migration,13.0,True,0.0,0.0,Control
229,1af-1.2.1,division,25.0,1af-1.2.2,division,28.0,True,3.0,0.0,Control
230,1af-1.2.1.1,division,28.0,1af-1.2.1.2,division,39.0,True,11.0,0.0,Control
231,1af-1.2.1.1.1,division,32.0,1af-1.2.1.1.2,division,27.0,True,5.0,0.0,Control
232,1af-1.2.1.1.1.1,migration,11.0,1af-1.2.1.1.1.2,migration,11.0,True,0.0,0.0,Control
233,1af-1.2.1.1.2.1,migration,16.0,1af-1.2.1.1.2.2,migration,16.0,True,0.0,0.0,Control
234,1af-1.2.1.2.1,division,26.0,1af-1.2.1.2.2,division,19.0,True,7.0,0.0,Control
235,1af-1.2.1.2.1.1,migration,6.0,1af-1.2.1.2.1.2,migration,6.0,True,0.0,0.0,Control
236,1af-1.2.1.2.2.1,migration,13.0,1af-1.2.1.2.2.2,migration,13.0,True,0.0,0.0,Control
237,1af-1.2.2.1,division,30.0,1af-1.2.2.2,division,26.0,True,4.0,0.0,Control
238,1af-1.2.2.1.1,division,20.0,1af-1.2.2.1.2,division,35.0,True,15.0,0.0,Control
239,1af-1.2.2.1.1.1,migration,18.0,1af-1.2.2.1.1.2,migration,18.0,True,0.0,0.0,Control
240,1af-1.2.2.1.2.1,migration,3.0,1af-1.2.2.1.2.2,migration,3.0,True,0.0,0.0,Control
241,1af-1.2.2.2.1,division,25.0,1af-1.2.2.2.2,division,23.0,True,2.0,0.0,Control
242,1af-1.2.2.2.1.1,migration,17.0,1af-1.2.2.2.1.2,migration,17.0,True,0.0,0.0,Control
243,1af-1.2.2.2.2.1,migration,19.0,1af-1.2.2.2.2.2,migration,19.0,True,0.0,0.0,Control
