division,death
21.5,
23.5,
23.0,
27.0,
24.5,
28.0,
21.5,
31.5,
20.5,
18.0,
31.0,
19.0,
19.5,
37.5,
25.0,
25.5,
29.0,
28.0,
31.5,
19.5,
32.5,
22.5,
24.5,
24.5,
18.5,
23.0,
27.0,
25.5,
37.0,
31.0,
28.0,
21.5,
25.5,
24.0,
27.5,
21.5,
26.5,
21.5,
23.0,
28.0,
19.5,
32.0,
20.0,
20.5,
32.0,
24.0,
22.0,
24.5,
28.5,
34.0,
25.0,
26.5,
19.5,
23.5,
27.5,
18.0,
21.0,
34.5,
24.5,
32.5,
32.5,
31.0,
